,Site,N0_Desilets,N0_UTS,GRAV_TDR_offset,TDR_Grav_ratio
0,C2,4296.054224325598,6350.422601577462,0.06101410658625536,0.6395767005846249
1,C1,3907.8171591601176,5670.147843787238,0.02943887577257491,0.7473937493918343
2,C3,4547.606532372419,6804.33001993258,0.09280278276062331,0.5671793863411275
3,C4,4087.2380305072734,5805.314179365809,0.004373835278372054,0.9527306863990845
4,F2,5270.965675613889,7932.494223865719,0.13953577254562155,0.506491291958922
5,F3,4631.689050043522,6997.485039991221,0.07433057850637897,0.7550521504526023
6,F4,4494.619280217012,6422.194951690752,0.008962586703944647,0.892942425914835
7,F1,4233.316520386062,6338.42320550836,0.10606233531700299,0.4793825495515138
8,R1,4028.54735199058,5998.90782554967,-0.05089787796302081,1.1706570382292156
9,R2,4322.756415370937,6402.070530671309,0.08332573623768239,0.5587020352766434
10,R5,4446.769340591847,6620.646157036151,0.03727200776746198,0.8255500772759994
11,R3,4426.164117215696,6466.099781193495,0.006980423295281216,0.9454145531098783
12,R7,4630.5766959379625,6971.694547895343,-0.01594321143122579,1.0634283535499547
13,R6,4841.003273940927,7384.263422954543,-0.10082680685789988,1.5538219074141764
14,R4,4861.721216483492,7270.582205144449,-0.056571984539523,1.2353281281010549
