,start_date,end_date,length_days
0,2023-07-01,2023-09-07,69
1,2023-09-10,2023-09-15,6
2,2023-09-18,2023-09-18,1
3,2023-09-22,2023-10-06,15
4,2024-06-27,2024-06-28,2
5,2024-07-11,2024-08-11,32
6,2024-08-17,2024-08-21,5
7,2024-09-01,2024-09-21,21
8,2024-09-27,2024-09-30,4
